deal_type,obj_type,district,area_range,count,min_price_sqm,median_price_sqm,max_price_sqm,min_price,median_price,max_price
аренда,База/склад/производство,Винзили рп.,971-980,1,300,300,300,293400,293400,293400
аренда,База/склад/производство,Перевалово с.,1721-1730,1,650,650,650,1122000,1122000,1122000
аренда,База/склад/производство,Перевалово с.,3991-4000,1,1000,1000,1000,4000000,4000000,4000000
аренда,Торговое помещение,1 мкр,111-120,1,1000,1000,1000,120000,120000,120000
аренда,Торговое помещение,Дударева д.,111-120,1,833,833,833,100000,100000,100000
аренда,База/склад/производство,Горьковское МО,691-700,1,350,350,350,245000,245000,245000
аренда,Свободного назначения,4 мкр,171-180,1,363,363,363,65000,65000,65000
аренда,Свободного назначения,Дом Обороны,311-320,1,562,562,562,180000,180000,180000
аренда,Свободного назначения,Дом Обороны,3171-3180,1,283,283,283,900000,900000,900000
аренда,Офисное помещение,Плеханово,101-110,1,1000,1000,1000,104400,104400,104400
аренда,Офисное помещение,Тарманы мкр.,41-50,1,435,435,435,20000,20000,20000
аренда,Свободного назначения,Центр: Драмтеатр,5991-6000,1,1000,1000,1000,6000000,6000000,6000000
аренда,Свободного назначения,Центр: Драмтеатр,991-1000,1,1000,1000,1000,1000000,1000000,1000000
аренда,Торговое помещение,Исетское,131-140,1,432,432,432,57000,57000,57000
аренда,База/склад/производство,Гилевская Роща,1451-1460,1,788,788,788,1149750,1149750,1149750
аренда,Торговое помещение,Исетское,471-480,1,552,552,552,264000,264000,264000
аренда,Свободного назначения,Комарово Парк мкр.,151-160,1,1457,1457,1457,220000,220000,220000
аренда,Торговое помещение,Московский тракт мкр.,191-200,1,904,904,904,175000,175000,175000
аренда,Торговое помещение,Московский тракт мкр.,81-90,1,1000,1000,1000,83000,83000,83000
аренда,Торговое помещение,микрорайон Березняковский,431-440,1,550,550,550,237000,237000,237000
аренда,Офисное помещение,Центр: Исторический,211-220,1,1038,1038,1038,220000,220000,220000
аренда,База/склад/производство,Червишевский тракт мкр.,1991-2000,1,700,700,700,1400000,1400000,1400000
аренда,Торговое помещение,Плодовое с/о (Ирбитский тракт),321-330,1,848,848,848,280000,280000,280000
аренда,Торговое помещение,5-й Заречный мкр,151-160,1,500,500,500,78000,78000,78000
аренда,Торговое помещение,Центр: Студгородок,591-600,1,601,601,601,360000,360000,360000
аренда,Офисное помещение,null,91-100,1,450,450,450,45000,45000,45000
аренда,Торговое помещение,Тавда,51-60,1,446,446,446,25000,25000,25000
аренда,Свободного назначения,Дом Обороны,141-150,1,549,549,549,80000,80000,80000
аренда,Свободного назначения,6 мкр,61-70,1,1161,1161,1161,80000,80000,80000
аренда,Офисное помещение,Исетское,171-180,1,407,407,407,70000,70000,70000
аренда,Свободного назначения,Центр: Дом печати,171-180,1,578,578,578,100000,100000,100000
аренда,Торговое помещение,Лесобаза: Казачьи Луга мкр.,21-30,1,2022,2022,2022,47000,47000,47000
аренда,Торговое помещение,Онохино с.,141-150,1,385,385,385,55000,55000,55000
аренда,Офисное помещение,Червишевский тракт мкр.,121-130,1,988,988,988,125000,125000,125000
аренда,Свободного назначения,Дударева д.,651-660,1,227,227,227,150000,150000,150000
аренда,Свободного назначения,микрорайон ДОК,51-60,1,1000,1000,1000,53000,53000,53000
аренда,Свободного назначения,Исетское,211-220,1,341,341,341,75000,75000,75000
аренда,Торговое помещение,Дом Обороны,291-300,1,750,750,750,225000,225000,225000
аренда,Свободного назначения,Перевалово с.,251-260,1,591,591,591,150000,150000,150000
аренда,Свободного назначения,Есенино КП,191-200,1,699,699,699,135000,135000,135000
аренда,Свободного назначения,null,371-380,1,500,500,500,190000,190000,190000
аренда,Свободного назначения,Нижняя Тавда с.,61-70,1,550,550,550,33605,33605,33605
аренда,Свободного назначения,Центр: Дом печати,191-200,1,350,350,350,70000,70000,70000
аренда,Свободного назначения,Гилевская Роща,271-280,1,950,950,950,266000,266000,266000
аренда,Офисное помещение,3 мкр,141-150,1,500,500,500,71000,71000,71000
аренда,Торговое помещение,Субботина д.,791-800,1,1250,1250,1250,1000000,1000000,1000000
аренда,Свободного назначения,Зеленые Холмы КП,171-180,1,800,800,800,144000,144000,144000
аренда,Торговое помещение,Комарово мкр.,171-180,1,897,897,897,161500,161500,161500
аренда,Торговое помещение,Лесобаза: Тура мкр,141-150,1,1361,1361,1361,200000,200000,200000
аренда,Свободного назначения,Войновка мкр.,741-750,1,1000,1000,1000,750000,750000,750000
аренда,Коммерческий участок,Казарово мкр.,11591-11600,1,49,49,49,570000,570000,570000
аренда,Свободного назначения,null,11-20,1,684,684,684,13000,13000,13000
аренда,Офисное помещение,Центр: Исторический,401-410,1,1000,1000,1000,401500,401500,401500
аренда,База/склад/производство,микрорайон Матмасы,581-590,1,508,508,508,300000,300000,300000
аренда,Офисное помещение,Центр: Исторический,251-260,1,900,900,900,230670,230670,230670
аренда,Офисное помещение,null,1741-1750,1,326,326,326,570000,570000,570000
аренда,Офисное помещение,Маяк мкр.,81-90,1,1183,1183,1183,100000,100000,100000
аренда,Торговое помещение,Сибиряк с/о,211-220,1,708,708,708,150000,150000,150000
аренда,База/склад/производство,Центр: Драмтеатр,21-30,1,1379,1379,1379,40000,40000,40000
аренда,Торговое помещение,Европейский мкр.,1411-1420,1,1521,1521,1521,2150000,2150000,2150000
аренда,Свободного назначения,Боровский рп.,111-120,1,833,833,833,100000,100000,100000
аренда,Свободного назначения,микрорайон Войновка,121-130,1,776,776,776,100000,100000,100000
аренда,База/склад/производство,2 мкр,31-40,1,875,875,875,35000,35000,35000
аренда,Свободного назначения,микрорайон ДОК,101-110,1,800,800,800,85600,85600,85600
аренда,Свободного назначения,Центр: Драмтеатр,211-220,1,682,682,682,150000,150000,150000
аренда,Свободного назначения,Войновка мкр.,171-180,1,600,600,600,103080,103080,103080
аренда,Свободного назначения,Заречный мкр.,401-410,1,805,805,805,330000,330000,330000
аренда,Торговое помещение,5-й Заречный мкр,31-40,1,1956,1956,1956,80000,80000,80000
аренда,Офисное помещение,3-й Заречный мкр,111-120,1,1094,1094,1094,124300,124300,124300
аренда,Торговое помещение,Центр: Дом печати,121-130,1,1300,1300,1300,169000,169000,169000
аренда,Свободного назначения,микрорайон Нефтяников,281-290,1,521,521,521,150000,150000,150000
аренда,Торговое помещение,4 мкр,51-60,1,1250,1250,1250,65000,65000,65000
аренда,Офисное помещение,Маяк мкр.,441-450,1,1778,1778,1778,800000,800000,800000
аренда,Торговое помещение,Центр: Дом печати,651-660,1,1000,1000,1000,655000,655000,655000
аренда,Торговое помещение,Центр: Дом печати,641-650,1,600,600,600,390000,390000,390000
аренда,База/склад/производство,null,781-790,1,767,767,767,600000,600000,600000
аренда,Торговое помещение,Зубарева д.,111-120,1,583,583,583,70000,70000,70000
аренда,Свободного назначения,микрорайон Рощино,131-140,1,1200,1200,1200,162360,162360,162360
аренда,Свободного назначения,микрорайон Рощино,51-60,1,1200,1200,1200,71760,71760,71760
аренда,База/склад/производство,Восточный 3 мкр.,1-10,1,1481,1481,1481,4000,4000,4000
аренда,Торговое помещение,Ушакова д.,471-480,1,700,700,700,336000,336000,336000
аренда,Офисное помещение,микрорайон Тюменский-1,211-220,1,896,896,896,190000,190000,190000
аренда,База/склад/производство,ДОК,471-480,1,650,650,650,310000,310000,310000
аренда,База/склад/производство,Заречный мкр.,891-900,1,333,333,333,300000,300000,300000
аренда,Торговое помещение,Югра мкр.,311-320,1,450,450,450,140220,140220,140220
аренда,Свободного назначения,микрорайон Рощино,111-120,1,1200,1200,1200,135720,135720,135720
аренда,Свободного назначения,микрорайон Рощино,521-530,1,1200,1200,1200,634920,634920,634920
аренда,Свободного назначения,Войновка мкр.,1491-1500,1,633,633,633,950000,950000,950000
аренда,Офисное помещение,5-й Заречный мкр,31-40,1,581,581,581,18000,18000,18000
аренда,Торговое помещение,2-й Заречный мкр,41-50,1,1804,1804,1804,90000,90000,90000
аренда,Свободного назначения,Комарово мкр.,121-130,1,800,800,800,104000,104000,104000
аренда,Торговое помещение,Червишевский тракт мкр.,241-250,1,2200,2200,2200,541640,541640,541640
аренда,Свободного назначения,Дом Обороны,271-280,1,1150,1150,1150,320045,320045,320045
аренда,База/склад/производство,Парфёново мкр.,131-140,1,571,571,571,80000,80000,80000
аренда,Офисное помещение,Парфёново мкр.,51-60,1,500,500,500,30000,30000,30000
аренда,Свободного назначения,Лесобаза мкр.,201-210,1,1000,1000,1000,207200,207200,207200
аренда,База/склад/производство,Центр: КПД,531-540,1,748,748,748,400000,400000,400000
аренда,Торговое помещение,2 мкр,331-340,1,1199,1199,1199,397000,397000,397000
аренда,Торговое помещение,2 мкр,231-240,1,1198,1198,1198,278000,278000,278000
аренда,Свободного назначения,Дударева д.,251-260,1,744,744,744,190000,190000,190000
аренда,База/склад/производство,Новотуринский,1471-1480,1,507,507,507,750000,750000,750000
аренда,Торговое помещение,Патрушева д.,161-170,1,1500,1500,1500,243000,243000,243000
аренда,Свободного назначения,Центр: Студгородок,261-270,1,850,850,850,227800,227800,227800
аренда,Свободного назначения,микрорайон Мелиораторов,141-150,1,1200,1200,1200,180000,180000,180000
аренда,Торговое помещение,Центр: Дом печати,31-40,1,800,800,800,28000,28000,28000
аренда,Свободного назначения,Березняковский мкр. (Березняки),261-270,1,533,533,533,144000,144000,144000
аренда,База/склад/производство,2 мкр,61-70,1,700,700,700,49000,49000,49000
аренда,База/склад/производство,Ярково с.,201-210,1,98,98,98,20000,20000,20000
аренда,База/склад/производство,null,3991-4000,1,362,362,362,1450000,1450000,1450000
аренда,База/склад/производство,null,1491-1500,1,700,700,700,1050000,1050000,1050000
аренда,Свободного назначения,Лесобаза мкр.,861-870,1,700,700,700,603000,603000,603000
аренда,Офисное помещение,Лесобаза мкр.,241-250,1,700,700,700,175000,175000,175000
аренда,Свободного назначения,Бабарынка,1191-1200,1,900,900,900,1080000,1080000,1080000
аренда,Свободного назначения,Тураева д.,241-250,1,256,256,256,64000,64000,64000
аренда,Свободного назначения,Патрушева д.,151-160,1,375,375,375,60000,60000,60000
аренда,Свободного назначения,СМП,1791-1800,1,400,400,400,720000,720000,720000
аренда,Торговое помещение,микрорайон Тарманы,171-180,1,278,278,278,49000,49000,49000
аренда,Торговое помещение,Московский тракт мкр.,111-120,1,804,804,804,92000,92000,92000
аренда,Торговое помещение,Бабарынка,111-120,1,1000,1000,1000,120000,120000,120000
аренда,Свободного назначения,Онохино с.,311-320,1,600,600,600,187080,187080,187080
аренда,Свободного назначения,Плеханово,201-210,1,700,700,700,144200,144200,144200
аренда,Торговое помещение,Стрела,101-110,1,550,550,550,58300,58300,58300
аренда,Свободного назначения,Южный,431-440,1,900,900,900,396000,396000,396000
аренда,Свободного назначения,Южный,391-400,1,900,900,900,360000,360000,360000
аренда,Свободного назначения,Южный,621-630,1,600,600,600,375000,375000,375000
аренда,База/склад/производство,Лесобаза мкр.,691-700,1,1000,1000,1000,700000,700000,700000
аренда,Свободного назначения,Воровского,1181-1190,1,841,841,841,1000000,1000000,1000000
аренда,Свободного назначения,Воровского,411-420,1,1205,1205,1205,500000,500000,500000
аренда,Свободного назначения,Московский тракт мкр.,171-180,1,833,833,833,150000,150000,150000
аренда,База/склад/производство,Московский тракт мкр.,841-850,1,887,887,887,750000,750000,750000
аренда,Свободного назначения,Ново-Комарово,31-40,1,1047,1047,1047,40000,40000,40000
аренда,Свободного назначения,микрорайон Мыс,361-370,1,712,712,712,260000,260000,260000
аренда,База/склад/производство,Центр: Студгородок,521-530,1,960,960,960,500000,500000,500000
аренда,База/склад/производство,Борки с.,1991-2000,1,600,600,600,1200000,1200000,1200000
аренда,База/склад/производство,Московский тракт мкр.,291-300,1,892,892,892,265000,265000,265000
аренда,База/склад/производство,Московский тракт мкр.,331-340,1,901,901,901,299000,299000,299000
аренда,Свободного назначения,1 мкр,291-300,1,500,500,500,150000,150000,150000
аренда,База/склад/производство,Гилевская Роща,441-450,1,400,400,400,180000,180000,180000
аренда,База/склад/производство,Винзили рп.,591-600,1,200,200,200,120000,120000,120000
аренда,Свободного назначения,1 мкр,81-90,1,1163,1163,1163,100000,100000,100000
аренда,Офисное помещение,Дом Обороны,211-220,1,1201,1201,1201,258000,258000,258000
аренда,Свободного назначения,Московский п.,241-250,1,1000,1000,1000,250000,250000,250000
аренда,База/склад/производство,Центр: Студгородок,7991-8000,1,800,800,800,6400000,6400000,6400000
аренда,База/склад/производство,Центр: Студгородок,9991-10000,1,800,800,800,8000000,8000000,8000000
аренда,База/склад/производство,Московский тракт мкр.,411-420,1,865,865,865,360000,360000,360000
аренда,Свободного назначения,СМП,91-100,1,1212,1212,1212,120000,120000,120000
аренда,База/склад/производство,микрорайон Восточный-2,1591-1600,1,900,900,900,1440000,1440000,1440000
аренда,Офисное помещение,Лесобаза мкр.,191-200,1,500,500,500,100000,100000,100000
аренда,Торговое помещение,Восточный 2 мкр.,11-20,1,3056,3056,3056,55000,55000,55000
аренда,Торговое помещение,Геолог-2 с/о,121-130,1,659,659,659,80000,80000,80000
аренда,Свободного назначения,Тюменский 3-й мкр.,681-690,1,1000,1000,1000,681500,681500,681500
аренда,База/склад/производство,Суходольский мкр.,351-360,1,222,222,222,80000,80000,80000
аренда,База/склад/производство,микрорайон Лесобаза,91-100,1,200,200,200,20000,20000,20000
аренда,Офисное помещение,микрорайон Лесобаза,141-150,1,600,600,600,90000,90000,90000
аренда,Свободного назначения,Ожогина д.,111-120,1,667,667,667,80000,80000,80000
аренда,Свободного назначения,район пос. Антипино,1411-1420,1,951,951,951,1350000,1350000,1350000
аренда,Офисное помещение,Центр: КПД,161-170,1,1028,1028,1028,170000,170000,170000
аренда,Офисное помещение,Московский тракт мкр.,91-100,1,600,600,600,60000,60000,60000
аренда,Свободного назначения,6 мкр,171-180,1,1000,1000,1000,180000,180000,180000
аренда,База/склад/производство,Стрела,21-30,1,900,900,900,18900,18900,18900
аренда,База/склад/производство,2 мкр,211-220,1,561,561,561,120000,120000,120000
аренда,База/склад/производство,Центр: Исторический,221-230,1,500,500,500,115000,115000,115000
аренда,Свободного назначения,микрорайон Восточный,91-100,1,1000,1000,1000,96000,96000,96000
аренда,Свободного назначения,микрорайон ДОК,71-80,1,708,708,708,55000,55000,55000
аренда,Свободного назначения,Дударева д.,1711-1720,1,875,875,875,1500000,1500000,1500000
аренда,Свободного назначения,Боровский рп.,201-210,1,452,452,452,91000,91000,91000
аренда,Свободного назначения,Ново-Патрушево мкр.,1-10,1,2000,2000,2000,16000,16000,16000
аренда,Свободного назначения,Центр: Драмтеатр,4401-4410,1,500,500,500,2204000,2204000,2204000
аренда,Офисное помещение,Центр: Драмтеатр,591-600,1,1200,1200,1200,720000,720000,720000
аренда,Офисное помещение,Стрела,31-40,1,486,486,486,17500,17500,17500
аренда,Свободного назначения,Суходольский мкр.,81-90,1,1000,1000,1000,90000,90000,90000
аренда,Свободного назначения,Винзили рп.,271-280,1,551,551,551,154000,154000,154000
аренда,Офисное помещение,Центр: КПД,61-70,1,820,820,820,50000,50000,50000
аренда,Свободного назначения,Московский тракт мкр.,201-210,1,619,619,619,130000,130000,130000
аренда,Свободного назначения,Дударева д.,141-150,1,1306,1306,1306,188000,188000,188000
аренда,Свободного назначения,Мыс мкр.,31-40,1,1200,1200,1200,47280,47280,47280
аренда,Свободного назначения,null,271-280,1,1964,1964,1964,550000,550000,550000
аренда,База/склад/производство,null,761-770,1,800,800,800,612800,612800,612800
аренда,Свободного назначения,Войновка мкр.,141-150,1,748,748,748,110000,110000,110000
аренда,Свободного назначения,Дом Обороны,401-410,1,367,367,367,150000,150000,150000
аренда,Свободного назначения,5-й Заречный мкр,1481-1490,1,800,800,800,1188800,1188800,1188800
аренда,База/склад/производство,Московский тракт мкр.,101-110,1,952,952,952,100000,100000,100000
аренда,Свободного назначения,Суходольский мкр.,591-600,1,100,100,100,60000,60000,60000
аренда,Свободного назначения,Южный,121-130,1,782,782,782,95000,95000,95000
аренда,База/склад/производство,район пос. Антипино,251-260,1,279,279,279,72000,72000,72000
аренда,Свободного назначения,Червишево с.,71-80,1,625,625,625,50000,50000,50000
аренда,База/склад/производство,район пос. Антипино,541-550,1,327,327,327,180000,180000,180000
аренда,Офисное помещение,Гилевская Роща,301-310,1,599,599,599,183600,183600,183600
аренда,Торговое помещение,5 мкр,141-150,1,672,672,672,100000,100000,100000
аренда,Торговое помещение,Боровский рп.,191-200,1,750,750,750,150000,150000,150000
аренда,Офисное помещение,Ембаево с.,21-30,1,800,800,800,21920,21920,21920
аренда,Свободного назначения,Червишевский тракт мкр.,161-170,1,1350,1350,1350,225450,225450,225450
аренда,Торговое помещение,Тура с/о,261-270,1,926,926,926,250000,250000,250000
аренда,Торговое помещение,Тура с/о,131-140,1,1111,1111,1111,150000,150000,150000
аренда,Свободного назначения,Тюменский 1-й мкр.,391-400,1,500,500,500,200000,200000,200000
аренда,Офисное помещение,микрорайон Лесобаза,21-30,1,650,650,650,13975,13975,13975
аренда,Свободного назначения,Дом Обороны,221-230,1,800,800,800,184000,184000,184000
аренда,Офисное помещение,Ембаево с.,11-20,1,700,700,700,14000,14000,14000
аренда,Офисное помещение,Европейский мкр.,171-180,1,2098,2098,2098,373800,373800,373800
аренда,Свободного назначения,Стрела,91-100,1,600,600,600,60000,60000,60000
аренда,Свободного назначения,Матмасы мкр.,1341-1350,1,894,894,894,1200000,1200000,1200000
аренда,Свободного назначения,null,1071-1080,1,694,694,694,750000,750000,750000
аренда,Офисное помещение,Центр: КПД,101-110,1,1238,1238,1238,125000,125000,125000
аренда,База/склад/производство,Центр: Исторический,151-160,1,812,812,812,130000,130000,130000
аренда,Торговое помещение,Червишевский тракт мкр.,101-110,1,850,850,850,92650,92650,92650
аренда,Офисное помещение,Центр: Студгородок,221-230,1,864,864,864,196000,196000,196000
аренда,Офисное помещение,Комарово мкр.,221-230,1,580,580,580,130000,130000,130000
аренда,Офисное помещение,Центр: Студгородок,91-100,1,895,895,895,85500,85500,85500
аренда,Свободного назначения,Луговое с.,191-200,1,800,800,800,160000,160000,160000
аренда,Торговое помещение,Центр: КПД,291-300,1,800,800,800,240000,240000,240000
аренда,Торговое помещение,Центр: КПД,261-270,1,800,800,800,216000,216000,216000
аренда,Свободного назначения,Центр: КПД,341-350,1,800,800,800,280000,280000,280000
аренда,База/склад/производство,null,561-570,1,300,300,300,170280,170280,170280
аренда,Офисное помещение,Центр: Исторический,231-240,1,801,801,801,185000,185000,185000
аренда,База/склад/производство,микрорайон Энтузиастов,1291-1300,1,600,600,600,780000,780000,780000
аренда,Офисное помещение,микрорайон Энтузиастов,11-20,1,1538,1538,1538,20000,20000,20000
аренда,Свободного назначения,Войновка мкр.,221-230,1,264,264,264,60000,60000,60000
аренда,База/склад/производство,Тарманы мкр.,1-10,1,1212,1212,1212,4000,4000,4000
аренда,Офисное помещение,Центр: КПД,521-530,1,1238,1238,1238,650000,650000,650000
аренда,Офисное помещение,Центр: КПД,4991-5000,1,1000,1000,1000,5000000,5000000,5000000
аренда,Свободного назначения,null,891-900,1,722,722,722,650000,650000,650000
аренда,Офисное помещение,Лесобаза мкр.,151-160,1,1016,1016,1016,160000,160000,160000
аренда,Свободного назначения,Маяк мкр.,121-130,1,1280,1280,1280,158208,158208,158208
аренда,Торговое помещение,Тугулым пгт,171-180,1,343,343,343,60000,60000,60000
аренда,Торговое помещение,Тугулым пгт,241-250,1,800,800,800,200000,200000,200000
аренда,База/склад/производство,микрорайон Энтузиастов,741-750,1,600,600,600,450000,450000,450000
аренда,База/склад/производство,микрорайон Энтузиастов,541-550,1,700,700,700,385000,385000,385000
аренда,Свободного назначения,микрорайон Зарека,321-330,1,424,424,424,140000,140000,140000
аренда,Свободного назначения,null,661-670,1,400,400,400,265000,265000,265000
аренда,Офисное помещение,Центр: Дом печати,221-230,1,1000,1000,1000,225600,225600,225600
аренда,Торговое помещение,Боровский рп.,51-60,1,1198,1198,1198,72000,72000,72000
аренда,Свободного назначения,Центр: Драмтеатр,831-840,1,1324,1324,1324,1100000,1100000,1100000
аренда,База/склад/производство,Войновка мкр.,4141-4150,1,900,900,900,3735000,3735000,3735000
аренда,Свободного назначения,Перевалово с.,291-300,1,907,907,907,270000,270000,270000
аренда,Свободного назначения,Лесобаза: Казачьи Луга мкр.,361-370,1,910,910,910,333500,333500,333500
аренда,Свободного назначения,Лесобаза: Казачьи Луга мкр.,51-60,1,1500,1500,1500,83700,83700,83700
аренда,Торговое помещение,Плеханово,111-120,1,833,833,833,95000,95000,95000
аренда,Свободного назначения,жилой комплекс Окинава,171-180,1,1050,1050,1050,180000,180000,180000
аренда,Офисное помещение,Центр: Драмтеатр,221-230,1,600,600,600,138480,138480,138480
аренда,Свободного назначения,Колос-4 с/о,1-10,1,4000,4000,4000,40000,40000,40000
аренда,Офисное помещение,null,111-120,1,600,600,600,68400,68400,68400
аренда,Свободного назначения,Гилевская Роща,241-250,1,680,680,680,170000,170000,170000
аренда,База/склад/производство,Плеханово,191-200,1,1300,1300,1300,260000,260000,260000
аренда,Свободного назначения,Луговое с.,91-100,1,800,800,800,73920,73920,73920
аренда,Свободного назначения,Луговое с.,101-110,1,800,800,800,85600,85600,85600
аренда,База/склад/производство,Московский тракт мкр.,2541-2550,1,902,902,902,2300000,2300000,2300000
аренда,Офисное помещение,Московский тракт мкр.,531-540,1,741,741,741,400000,400000,400000
аренда,Офисное помещение,Центр: КПД,3491-3500,1,1086,1086,1086,3800000,3800000,3800000
аренда,Свободного назначения,1-й Заречный мкр,61-70,1,1000,1000,1000,65000,65000,65000
аренда,Свободного назначения,МЖК,151-160,1,1572,1572,1572,250000,250000,250000
аренда,Офисное помещение,Боровский рп.,61-70,1,795,795,795,55000,55000,55000
аренда,База/склад/производство,Гилевская Роща,531-540,1,796,796,796,430000,430000,430000
аренда,Торговое помещение,2 мкр,41-50,1,1000,1000,1000,42000,42000,42000
аренда,Свободного назначения,Винзили рп.,41-50,1,996,996,996,50000,50000,50000
аренда,Свободного назначения,Нижняя Тавда с.,71-80,1,500,500,500,38350,38350,38350
аренда,База/склад/производство,ДОК,141-150,1,733,733,733,110000,110000,110000
аренда,Офисное помещение,Центр: Дом печати,111-120,1,1250,1250,1250,150000,150000,150000
аренда,Офисное помещение,Тарманы мкр.,51-60,1,1000,1000,1000,51400,51400,51400
аренда,Офисное помещение,Тарманы мкр.,31-40,1,1000,1000,1000,40000,40000,40000
аренда,Офисное помещение,Тарманы мкр.,21-30,1,1000,1000,1000,30200,30200,30200
аренда,Офисное помещение,Тарманы мкр.,61-70,1,1000,1000,1000,70200,70200,70200
аренда,Офисное помещение,Тарманы мкр.,141-150,1,1000,1000,1000,141300,141300,141300
аренда,Офисное помещение,Тарманы мкр.,291-300,1,1000,1000,1000,300000,300000,300000
аренда,Торговое помещение,Казарово мкр.,81-90,1,1000,1000,1000,83200,83200,83200
аренда,Офисное помещение,Центр: КПД,391-400,1,1100,1100,1100,440000,440000,440000
аренда,Свободного назначения,Гилевская Роща,1-10,1,950,950,950,9500,9500,9500
аренда,Свободного назначения,Бабарынка,651-660,1,1201,1201,1201,790000,790000,790000
аренда,Свободного назначения,Дударева д.,431-440,1,1136,1136,1136,500000,500000,500000
аренда,Офисное помещение,Тюменский 3-й мкр.,271-280,1,1429,1429,1429,400000,400000,400000
аренда,Офисное помещение,Московский тракт мкр.,181-190,1,1221,1221,1221,230000,230000,230000
аренда,Офисное помещение,Московский тракт мкр.,121-130,1,1207,1207,1207,150000,150000,150000
аренда,Офисное помещение,Московский тракт мкр.,61-70,1,1172,1172,1172,75000,75000,75000
аренда,Свободного назначения,Тюнево с.,851-860,1,291,291,291,250000,250000,250000
аренда,Офисное помещение,Плеханово,31-40,1,1500,1500,1500,48000,48000,48000
аренда,Офисное помещение,5-й Заречный мкр,131-140,1,500,500,500,68400,68400,68400
аренда,База/склад/производство,Дом Обороны,1791-1800,1,444,444,444,800000,800000,800000
аренда,База/склад/производство,null,401-410,1,988,988,988,400000,400000,400000
аренда,Свободного назначения,Червишевский тракт мкр.,71-80,1,1350,1350,1350,108000,108000,108000
аренда,Торговое помещение,Дударева д.,51-60,1,1500,1500,1500,80400,80400,80400
аренда,Торговое помещение,Комарово Парк мкр.,201-210,1,1500,1500,1500,313050,313050,313050
аренда,Торговое помещение,Центр: Драмтеатр,31-40,1,556,556,556,20000,20000,20000
аренда,Торговое помещение,Тополя-2 с/о,171-180,1,460,460,460,80000,80000,80000
аренда,Свободного назначения,1-й Заречный мкр,31-40,1,1463,1463,1463,55000,55000,55000
аренда,Свободного назначения,1-й Заречный мкр,981-990,1,800,800,800,792000,792000,792000
аренда,Свободного назначения,Центр: Драмтеатр,201-210,1,728,728,728,150000,150000,150000
аренда,Офисное помещение,микрорайон Матмасы,211-220,1,545,545,545,120000,120000,120000
аренда,Свободного назначения,микрорайон Войновка,61-70,1,800,800,800,56000,56000,56000
аренда,Свободного назначения,Ожогино,691-700,1,1000,1000,1000,700000,700000,700000
аренда,Офисное помещение,Центр: Дом печати,241-250,1,1800,1800,1800,450000,450000,450000
аренда,Торговое помещение,микрорайон Рощино,401-410,1,996,996,996,400000,400000,400000
аренда,Офисное помещение,null,1421-1430,1,800,800,800,1143296,1143296,1143296
аренда,База/склад/производство,Винзили рп.,681-690,1,351,351,351,240000,240000,240000
аренда,Свободного назначения,Центр: Студгородок,151-160,1,1100,1100,1100,174680,174680,174680
аренда,База/склад/производство,Гилевская Роща,461-470,1,621,621,621,290000,290000,290000
аренда,База/склад/производство,Пышминка д.,1431-1440,1,451,451,451,647000,647000,647000
аренда,База/склад/производство,Центр: Студгородок,791-800,1,650,650,650,520000,520000,520000
аренда,База/склад/производство,Центр: Студгородок,271-280,1,400,400,400,109000,109000,109000
аренда,База/склад/производство,Яр с. (Тобольский тракт),731-740,1,408,408,408,300000,300000,300000
аренда,Торговое помещение,Червишевский тракт мкр.,311-320,1,1000,1000,1000,320000,320000,320000
аренда,База/склад/производство,Войновка мкр.,541-550,1,909,909,909,500000,500000,500000
аренда,База/склад/производство,Тарманы мкр.,1331-1340,1,516,516,516,690000,690000,690000
аренда,База/склад/производство,Гилевская Роща,141-150,1,816,816,816,120000,120000,120000
аренда,Готовый бизнес,Центр: Драмтеатр,51-60,1,6593,6593,6593,360000,360000,360000
аренда,База/склад/производство,null,1081-1090,1,599,599,599,650000,650000,650000
аренда,База/склад/производство,Новотуринский,991-1000,1,500,500,500,500000,500000,500000
аренда,Свободного назначения,Винзили рп.,121-130,1,308,308,308,40000,40000,40000
аренда,Офисное помещение,Стрела,21-30,1,1521,1521,1521,32400,32400,32400
аренда,Свободного назначения,Стрела,31-40,1,1571,1571,1571,55000,55000,55000
аренда,База/склад/производство,СМП,471-480,1,688,688,688,330000,330000,330000
аренда,Свободного назначения,Лесобаза мкр.,171-180,1,1560,1560,1560,270000,270000,270000
аренда,Свободного назначения,Лесобаза мкр.,321-330,1,1000,1000,1000,325000,325000,325000
аренда,Свободного назначения,Центр: Исторический,271-280,1,553,553,553,150000,150000,150000
аренда,Офисное помещение,Лесобаза мкр.,371-380,1,700,700,700,266000,266000,266000
аренда,Свободного назначения,Ватутина мкр.,41-50,1,1100,1100,1100,55000,55000,55000
аренда,Торговое помещение,микрорайон Березняковский,151-160,1,987,987,987,150000,150000,150000
аренда,Офисное помещение,микрорайон Березняковский,241-250,1,700,700,700,171500,171500,171500
аренда,Торговое помещение,Заречный мкр.,21-30,1,1333,1333,1333,40000,40000,40000
аренда,Офисное помещение,микрорайон Березняковский,151-160,1,900,900,900,136800,136800,136800
аренда,Свободного назначения,Электрон,731-740,1,900,900,900,662400,662400,662400
аренда,Свободного назначения,Лесобаза мкр.,781-790,1,800,800,800,632000,632000,632000
аренда,Торговое помещение,Тавда,131-140,1,521,521,521,70000,70000,70000
