deal_type,obj_type,district,area_range,count,min_price_sqm,median_price_sqm,max_price_sqm,min_price,median_price,max_price
продажа,Свободного назначения,Дом Обороны,31-40,9,90116,145223,341426,2976000,5199000,13500000
продажа,Свободного назначения,Дударева д.,71-80,9,168363,196638,273103,12240000,14703000,20592000
продажа,Свободного назначения,Европейский мкр.,51-60,9,192308,250000,325464,11500000,14900000,19281500
аренда,Свободного назначения,Центр: Драмтеатр,131-140,8,331,1233,2500,45000,170000,346000
аренда,Свободного назначения,5-й Заречный мкр,91-100,8,499,1217,1490,47000,119210,149000
аренда,Свободного назначения,Лесобаза мкр.,61-70,8,725,1248,1727,50000,85000,109000
аренда,Торговое помещение,Дом Обороны,71-80,8,803,2100,3000,65000,160650,232500
аренда,Свободного назначения,Центр: Драмтеатр,41-50,8,667,1264,1875,30000,60000,90000
аренда,Свободного назначения,Центр: Драмтеатр,61-70,8,490,1654,2402,31850,112000,148900
аренда,Свободного назначения,Ново-Комарово,71-80,8,600,1194,1500,45420,94000,120000
аренда,Свободного назначения,Центр: Дом печати,41-50,8,1035,1354,2000,50000,65000,100000
аренда,Свободного назначения,Центр: КПД,61-70,8,621,1250,2748,40000,81120,180000
аренда,Свободного назначения,null,31-40,8,806,1600,1600,25000,58240,64640
аренда,Свободного назначения,5-й Заречный мкр,61-70,8,1000,1587,1800,61000,100000,120000
аренда,Свободного назначения,Тюменская слобода мкр.,61-70,8,903,1435,1929,58000,95000,120000
аренда,Офисное помещение,Центр: Драмтеатр,21-30,8,636,1191,1494,14000,29100,38850
продажа,Свободного назначения,Центр: Дом печати,31-40,8,122973,223464,279890,4550000,8130000,10160000
продажа,Свободного назначения,Тюменская слобода мкр.,41-50,8,211651,238189,261905,9000000,11100000,12100000
продажа,Свободного назначения,Тюменская слобода мкр.,61-70,8,210918,252436,306171,13600000,17100000,20740000
продажа,Свободного назначения,Дом Обороны,91-100,8,72500,165129,217800,7250000,15600000,20691000
продажа,База/склад/производство,Тюменский 1-й мкр.,1-10,8,77500,80488,81579,310000,340000,434000
продажа,Офисное помещение,Центр: Исторический,31-40,8,63235,149068,220207,2150000,5000000,8500000
продажа,Коммерческий участок,null,2491-2500,8,2000,2000,2000,5000000,5000000,5000000
продажа,Свободного назначения,Европейский мкр.,41-50,8,190000,250000,315773,8892000,12037500,16085500
продажа,Свободного назначения,Плеханово,11-20,8,206831,292500,292522,4000000,5060500,5672000
аренда,Свободного назначения,Дом Обороны,61-70,7,515,1000,1700,34000,70000,115090
аренда,Офисное помещение,Центр: Драмтеатр,61-70,7,950,1254,1830,62700,84000,126270
аренда,Торговое помещение,Центр: КПД,51-60,7,977,1600,3333,50000,83200,200000
аренда,Свободного назначения,Лесобаза мкр.,31-40,7,660,1000,1055,25000,37000,40000
аренда,Свободного назначения,Дударева д.,61-70,7,776,1000,1180,49600,68600,80000
аренда,Торговое помещение,Центр: КПД,91-100,7,651,1795,2049,65000,180000,200000
аренда,Свободного назначения,Центр: Дом печати,51-60,7,736,1200,1794,39000,68880,108000
аренда,Торговое помещение,Лесобаза мкр.,61-70,7,732,893,1500,45000,55000,97500
аренда,Свободного назначения,Центр: Драмтеатр,101-110,7,490,1250,1866,51107,132500,200000
аренда,Свободного назначения,Центр: Исторический,141-150,7,880,1241,4000,125000,180000,585200
аренда,Офисное помещение,Тарманы мкр.,11-20,7,947,1000,1087,16100,16800,18700
аренда,Свободного назначения,Лесобаза мкр.,51-60,7,780,1462,1500,40000,75000,87450
аренда,Офисное помещение,Дом Обороны,31-40,7,1029,1200,1400,32000,42360,47880
аренда,Свободного назначения,Плеханово,21-30,7,987,1354,2045,26000,30000,45000
аренда,Офисное помещение,Центр: Исторический,51-60,7,588,650,1724,30000,35000,100000
аренда,Свободного назначения,Центр: Драмтеатр,31-40,7,875,2198,2500,30000,75000,99500
аренда,Офисное помещение,Суходольский мкр.,11-20,7,941,1146,1513,16000,22000,30000
аренда,Свободного назначения,Комарово Парк мкр.,61-70,7,1006,1300,2000,65000,80340,134000
аренда,Офисное помещение,Центр: Драмтеатр,11-20,7,950,1209,1600,16920,20000,23500
аренда,Торговое помещение,Тюменская слобода мкр.,51-60,7,1273,1500,2455,70000,91050,135000
аренда,Торговое помещение,Тюменская слобода мкр.,61-70,7,1500,2100,2100,91950,128100,134400
аренда,Свободного назначения,Комарово Парк мкр.,41-50,7,982,1016,2045,45000,50000,90000
продажа,Свободного назначения,Дударева д.,51-60,7,165000,209423,270210,9669000,11235000,15048000
продажа,Свободного назначения,Центр: КПД,71-80,7,154964,230897,267024,11300000,18010000,19920000
продажа,База/склад/производство,Матмасы мкр.,1-10,7,45395,60000,76923,280000,345000,400000
продажа,Свободного назначения,Червишевский тракт мкр.,91-100,7,178000,192353,264045,17523400,18600000,25850000
продажа,База/склад/производство,Дом Обороны,11-20,7,42639,43259,45045,500000,718000,720800
продажа,Офисное помещение,Центр: КПД,11-20,7,97423,182400,252000,1890000,2042880,4435200
продажа,Торговое помещение,Центр: Исторический,11-20,7,64286,78400,172414,850000,1050000,3500000
продажа,Свободного назначения,Дом Обороны,41-50,7,157058,191702,201605,7900000,8687000,9780500
продажа,Свободного назначения,жилой район Айвазовский Сити,81-90,7,218757,222745,235552,18660000,19360000,20140000
аренда,Свободного назначения,Центр: Драмтеатр,141-150,6,467,867,1064,70000,130000,150000
аренда,Торговое помещение,Плеханово,71-80,6,992,1400,1780,75000,102200,143468
аренда,Торговое помещение,Червишевский тракт мкр.,81-90,6,910,1300,2500,73710,112060,214075
аренда,Торговое помещение,Центр: КПД,31-40,6,1010,1513,1900,39000,57000,72599
аренда,Свободного назначения,Центр: КПД,131-140,6,650,1299,1445,85150,180000,200000
аренда,Свободного назначения,Дом Обороны,81-90,6,716,1000,1138,64000,83000,95000
аренда,Свободного назначения,Центр: Дом печати,131-140,6,468,1200,1429,65000,160000,200000
аренда,Торговое помещение,Дом Обороны,91-100,6,1000,1650,2700,96000,156750,269190
аренда,Свободного назначения,Центр: КПД,121-130,6,778,1465,1500,100000,180000,195000
аренда,Офисное помещение,Центр: Студгородок,11-20,6,1000,1100,1282,14400,19200,20000
аренда,Офисное помещение,Центр: КПД,1-10,6,972,1321,1389,6825,9720,14000
аренда,Свободного назначения,Тюменская слобода мкр.,71-80,6,997,1513,2254,74000,115000,160000
аренда,Свободного назначения,Лесобаза мкр.,41-50,6,1000,1009,1091,43100,45000,55000
аренда,Свободного назначения,Плеханово,131-140,6,700,1000,1309,95900,138100,182000
аренда,Свободного назначения,Гилевская Роща,11-20,6,950,1200,1536,13585,15600,19740
аренда,Офисное помещение,Дом Обороны,41-50,6,900,1200,1500,40000,57000,76200
аренда,Торговое помещение,Плеханово,41-50,6,700,1200,1570,29600,60000,70000
аренда,Свободного назначения,Центр: Исторический,231-240,6,300,1000,2504,70000,232000,600000
аренда,База/склад/производство,Центр: Драмтеатр,1-10,6,1434,1622,1970,6000,6500,7000
аренда,Свободного назначения,Центр: Дом печати,31-40,6,676,1351,2506,25000,50000,101500
аренда,Офисное помещение,Червишевский тракт мкр.,21-30,6,649,1528,2991,19474,43000,69990
аренда,Офисное помещение,Центр: Дом печати,11-20,6,1325,1765,1800,15500,30000,30600
аренда,Офисное помещение,Центр: Драмтеатр,71-80,6,433,946,1500,35000,70830,120000
аренда,Офисное помещение,Центр: Драмтеатр,31-40,6,950,1273,1452,31730,43200,50000
аренда,Свободного назначения,Тюменский 3-й мкр.,41-50,6,1163,1395,1501,50000,60000,75000
продажа,Свободного назначения,микрорайон ДОК,81-90,6,169664,195437,195513,14150000,16900000,17528500
продажа,Свободного назначения,Центр: КПД,91-100,6,102151,225806,253179,9500000,21000000,25090000
продажа,Свободного назначения,Лесобаза мкр.,81-90,6,176900,188030,228883,14941000,16620000,19630000
продажа,Свободного назначения,Комарово Парк мкр.,41-50,6,228370,231240,239689,9445000,10690000,11500000
продажа,Свободного назначения,Лесобаза мкр.,121-130,6,140000,175990,179538,17780000,21674200,22574200
продажа,Свободного назначения,У озера квартал,31-40,6,144254,151831,167176,5100000,5250000,6570000
продажа,База/склад/производство,3-й Заречный мкр,1-10,6,82857,134615,189189,290000,350000,700000
продажа,Свободного назначения,Центр: Дом печати,71-80,6,65841,219084,267176,5050000,17220000,21000000
продажа,Свободного назначения,Центр: Дом печати,81-90,6,48369,213866,214052,4300000,18200000,18858000
продажа,Свободного назначения,У озера квартал,61-70,6,104688,124981,125018,6700000,8500000,8830000
продажа,Свободного назначения,Электрон,81-90,6,210000,219000,219000,17518200,18203280,18957120
продажа,Свободного назначения,Электрон,61-70,6,225000,230000,230000,14080600,15214500,15824250
продажа,Свободного назначения,Электрон,71-80,6,219000,225000,225000,16020000,17239500,17730240
продажа,Свободного назначения,Червишевский тракт мкр.,71-80,6,199500,203418,213172,14962500,15907300,16422000
продажа,Свободного назначения,Центр: КПД,61-70,6,123994,194199,243711,7700000,12869000,15723000
продажа,Свободного назначения,Мыс мкр.,61-70,6,142843,267045,269551,9527612,16450000,16820000
продажа,Свободного назначения,Лесобаза мкр.,101-110,6,140000,185493,202861,15050000,18824200,20631000
продажа,Коммерческий участок,Елань д. (Московский тракт),65131-65140,6,300,300,300,19541100,19541100,19541100
продажа,Свободного назначения,Дом Обороны,71-80,6,141565,166213,173782,10490000,12854000,13555000
продажа,Свободного назначения,Дударева д.,61-70,6,161527,179654,194970,11000000,12450000,12790000
продажа,Свободного назначения,жилой комплекс Сибирский,41-50,6,155783,162755,175788,6865000,7920000,8538000
продажа,Свободного назначения,Европейский мкр.,111-120,6,195621,210091,250000,23000000,23755000,30062500
аренда,Торговое помещение,Центр: Драмтеатр,111-120,5,862,1348,2000,100000,150000,240000
аренда,Торговое помещение,Центр: КПД,121-130,5,478,1092,2000,60000,142000,256800
аренда,Свободного назначения,Центр: Драмтеатр,51-60,5,1000,1073,1300,51000,60000,73710
аренда,Торговое помещение,Центр: Драмтеатр,51-60,5,1100,1800,3003,63800,106200,160500
аренда,Свободного назначения,Центр: Драмтеатр,21-30,5,852,1296,1714,20000,35000,42000
