Тип объекта;Тип заявки;Район;Площадь;Цена
Торговое помещение;Сдать в аренду;Европейский мкр.;91.4;137000
Торговое помещение;Сдать в аренду;Комарово Парк мкр.;275.0;330000
Свободного назначения;Сдать в аренду;Центр: КПД;650.0;357500
Свободного назначения;Сдать в аренду;null;473.0;100000
Свободного назначения;Сдать в аренду;Центр: Исторический;1100.0;1430000
Офисное помещение;Сдать в аренду;Южный;880.0;704000
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;67.7;67700
Свободного назначения;Сдать в аренду;Центр: КПД;100.0;180000
Свободного назначения;Сдать в аренду;Центр: Дом печати;280.6;280000
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;446.0;500000
Свободного назначения;Сдать в аренду;Березняковский мкр. (Березняки);275.0;278000
Офисное помещение;Сдать в аренду;Березняковский мкр. (Березняки);138.0;138000
Офисное помещение;Сдать в аренду;Европейский мкр.;75.3;100000
Торговое помещение;Сдать в аренду;микрорайон ДОК;69.5;83400
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;177.9;130000
Торговое помещение;Сдать в аренду;null;8.0;24000
Торговое помещение;Сдать в аренду;null;36.0;36000
Свободного назначения;Сдать в аренду;Московский тракт мкр.;118.0;90000
Офисное помещение;Сдать в аренду;5-й Заречный мкр;17.7;10500
Свободного назначения;Сдать в аренду;Войновка мкр.;90.0;90000
Торговое помещение;Сдать в аренду;Дударева д.;71.8;82570
Торговое помещение;Сдать в аренду;ДОК;57.0;74100
Торговое помещение;Сдать в аренду;ДОК;63.0;75600
Свободного назначения;Сдать в аренду;Восточный р-н;65.0;70000
Свободного назначения;Сдать в аренду;Дом Обороны;104.6;50000
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;267.0;205884
Свободного назначения;Сдать в аренду;Центр: КПД;112.5;123500
Свободного назначения;Сдать в аренду;null;155.0;90000
Торговое помещение;Сдать в аренду;Центр: Исторический;220.0;1100000
Торговое помещение;Сдать в аренду;4 мкр;7.0;10000
Свободного назначения;Сдать в аренду;Центр: КПД;559.1;1000000
Свободного назначения;Сдать в аренду;Центр: КПД;800.0;750000
Свободного назначения;Сдать в аренду;Центр: КПД;882.2;700000
Торговое помещение;Сдать в аренду;У озера квартал;66.4;45000
Торговое помещение;Сдать в аренду;Московский п.;88.0;50000
Свободного назначения;Сдать в аренду;Центр: КПД;373.0;298400
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;192.1;140000
Свободного назначения;Сдать в аренду;5-й Заречный мкр;100.0;65000
Свободного назначения;Сдать в аренду;Стрела;500.0;350000
Свободного назначения;Сдать в аренду;Центр: КПД;50.0;65000
Свободного назначения;Сдать в аренду;Тавда;250.0;125000
Свободного назначения;Сдать в аренду;Тавда;48.0;25000
Свободного назначения;Сдать в аренду;Лесобаза мкр.;66.2;79440
Офисное помещение;Сдать в аренду;Центр: Исторический;420.0;420000
Свободного назначения;Сдать в аренду;Большие Акияры д.;520.0;416000
Торговое помещение;Сдать в аренду;Зубарева д.;520.0;416000
Торговое помещение;Сдать в аренду;Дом Обороны;80.9;65000
Торговое помещение;Сдать в аренду;5-й Заречный мкр;124.0;149000
Офисное помещение;Сдать в аренду;Центр: Исторический;147.0;222150
