Тип объекта;Тип заявки;Площадь;Цена;Цена за кв.метр;Статус объекта;Район;Дата закрытия заявки
Торговое помещение;Сдать в аренду;80;40000;500;Сдан с нами;Центр: Драмтеатр;2025-10
Торговое помещение;Сдать в аренду;81;73710;910;Сдан с нами;Червишевский тракт мкр.;2026-01
Торговое помещение;Сдать в аренду;82;90000;1097,56;Сдан с нами;Центр: Студгородок;2026-02
Торговое помещение;Сдать в аренду;82,6;78470;950;Сдан с нами;Мыс мкр.;2025-11
Торговое помещение;Сдать в аренду;83,4;108400;1299,76;Сдан с нами;Червишевский тракт мкр.;2026-01
Торговое помещение;Сдать в аренду;94,5;200000;2116,4;Сдан с нами;МЖК;2025-10
Торговое помещение;Сдать в аренду;95,6;113000;1182,01;Сдан с нами;Воровского;2025-12
Торговое помещение;Сдать в аренду;100;168000;1680;Сдан с нами;Центр: Драмтеатр;2025-12
Торговое помещение;Сдать в аренду;100;185400;1854;Сдан с нами;Центр: КПД;2026-04
Торговое помещение;Сдать в аренду;102,5;107625;1050;Сдан с нами;Европейский мкр.;2026-02
Торговое помещение;Сдать в аренду;111,3;150000;1347,71;Сдан с нами;Центр: Драмтеатр;2025-12
Торговое помещение;Сдать в аренду;134,7;230000;1707,5;Сдан с нами;Европейский мкр.;2026-04
Торговое помещение;Сдать в аренду;136,3;170000;1247,25;Сдан с нами;Тюменская слобода мкр.;2025-11
Торговое помещение;Сдать в аренду;139;152900;1100;Сдан с нами;Ново-Патрушево мкр.;2026-04
Торговое помещение;Сдать в аренду;142,2;135090;950;Сдан с нами;Центр: Исторический;2026-02
Торговое помещение;Сдать в аренду;142,5;150000;1052,63;Сдан с нами;2-й Заречный мкр;2025-12
Торговое помещение;Сдать в аренду;147,5;230000;1559,32;Сдан с нами;Центр: Исторический;2026-03
Торговое помещение;Сдать в аренду;157,2;135000;858,78;Сдан с нами;Тюменский 1-й мкр.;2025-12
Торговое помещение;Сдать в аренду;185;230000;1243,24;Сдан с нами;Центр: Исторический;2026-04
Торговое помещение;Сдать в аренду;200;200000;1000;Сдан с нами;Тополя-2 с/о;2025-09
Всего строк;Всего строк;Всего строк;Всего строк;Всего строк;Всего строк;Всего строк;556
