Тип объекта;Тип заявки;Площадь;Цена;Цена за кв.метр;Статус объекта;Район
База/склад/производство;Продажа;3,6;217200;60333,33;Активный;МЖК
База/склад/производство;Продажа;3,6;270000;75000;Активный;Лесобаза мкр.
База/склад/производство;Продажа;3,6;282000;78333,34;Активный;Дом Обороны
База/склад/производство;Продажа;3,6;282000;78333,34;Активный;Дом Обороны
База/склад/производство;Продажа;3,6;300000;83333,34;Активный;Дом Обороны
База/склад/производство;Продажа;3,6;330000;91666,67;Активный;Червишевский тракт мкр.
База/склад/производство;Продажа;3,6;340000;94444,45;Активный;микрорайон Мелиораторов
База/склад/производство;Продажа;3,6;350000;97222,22;Активный;3-й Заречный мкр
База/склад/производство;Продажа;3,6;350000;97222,22;Активный;Заречный мкр.
База/склад/производство;Продажа;3,6;350000;97222,22;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;3,6;350000;97222,22;Активный;Тюменский 3-й мкр.
База/склад/производство;Продажа;3,6;365000;101388,89;Активный;Заречный мкр.
База/склад/производство;Продажа;3,6;390000;108333,34;Активный;ДОК
База/склад/производство;Продажа;3,6;590000;163888,89;Активный;Центр: Дом печати
База/склад/производство;Продажа;3,7;203900;55108,11;Активный;МЖК
База/склад/производство;Продажа;3,7;270000;72972,97;Активный;Тарманы мкр.
База/склад/производство;Продажа;3,7;280000;75675,67;Активный;ДОК
База/склад/производство;Продажа;3,7;300000;81081,08;Активный;Тарманы мкр.
База/склад/производство;Продажа;3,7;350000;94594,59;Активный;Заречный мкр.
База/склад/производство;Продажа;3,7;350000;94594,59;Активный;микрорайон Тарманы
База/склад/производство;Продажа;3,7;400000;108108,11;Активный;Заречный мкр.
База/склад/производство;Продажа;3,7;600000;162162,16;Активный;микрорайон ДОК
База/склад/производство;Продажа;3,8;227600;59894,74;Активный;МЖК
База/склад/производство;Продажа;3,8;255000;67105,26;Активный;микрорайон Антипино
База/склад/производство;Продажа;3,8;290000;76315,79;Активный;Тарманы мкр.
База/склад/производство;Продажа;3,8;296000;77894,74;Активный;Дом Обороны
База/склад/производство;Продажа;3,8;305000;80263,16;Активный;Дом Обороны
База/склад/производство;Продажа;3,8;310000;81578,95;Активный;Тюменский 1-й мкр.
База/склад/производство;Продажа;3,8;328000;86315,79;Активный;ДОК
База/склад/производство;Продажа;3,8;350000;92105,26;Активный;ДОК
База/склад/производство;Продажа;3,8;350000;92105,26;Активный;Плеханово
База/склад/производство;Продажа;3,8;390000;102631,58;Активный;Заречный мкр.
База/склад/производство;Продажа;3,8;400000;105263,16;Активный;Плеханово
База/склад/производство;Продажа;3,8;405000;106578,95;Активный;ДОК
База/склад/производство;Продажа;3,9;303000;77692,31;Активный;Дом Обороны
База/склад/производство;Продажа;3,9;303000;77692,31;Активный;Дом Обороны
База/склад/производство;Продажа;3,9;315000;80769,23;Активный;Тюменский 1-й мкр.
База/склад/производство;Продажа;3,9;340000;87179,49;Активный;3-й Заречный мкр
База/склад/производство;Продажа;3,9;350000;89743,59;Активный;Тарманы мкр.
База/склад/производство;Продажа;3,9;356000;91282,05;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;3,9;380000;97435,9;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;3,9;390000;100000;Активный;5-й Заречный мкр
База/склад/производство;Продажа;3,9;400000;102564,1;Активный;Тарманы мкр.
База/склад/производство;Продажа;3,9;400000;102564,1;Активный;Червишевский тракт мкр.
База/склад/производство;Продажа;3,9;410000;105128,2;Активный;Зеленые Аллеи (Ирбитский тракт)
База/склад/производство;Продажа;3,9;420000;107692,31;Активный;Московский тракт мкр.
База/склад/производство;Продажа;3,9;495000;126923,07;Активный;Мыс мкр.
База/склад/производство;Продажа;3,9;1600000;410256,4;Активный;Центр: КПД
База/склад/производство;Продажа;4;256000;64000;Активный;Стрела
База/склад/производство;Продажа;4;260000;65000;Активный;Тарманы мкр.
База/склад/производство;Продажа;4;280000;70000;Активный;Тарманы мкр.
База/склад/производство;Продажа;4;290000;72500;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;4;310000;77500;Активный;Дом Обороны
База/склад/производство;Продажа;4;310000;77500;Активный;Дом Обороны
База/склад/производство;Продажа;4;310000;77500;Активный;Югра мкр.
