Тип объекта,active_sale_n,active_sale_area,active_sale_qm,closed_sale_n,closed_sale_area,closed_sale_qm,pending_sale_n,active_rent_n,active_rent_qm,closed_rent_n,closed_rent_qm,sale_pressure,rent_pressure,sale_price_gap_pct,rent_price_gap_pct
Свободного назначения,1670,85.185,177379.69,70,82.94999999999999,116718.70999999999,7,1191,1038.06,144.0,1026.975,0.04610778443113772,0.12090680100755667,51.971941773516875,1.0793836266705652
Торговое помещение,401,92.4,140000.0,45,68.8,162684.86,8,612,1250.0,50.0,1273.505,0.13216957605985039,0.08169934640522876,-13.944051093629724,-1.8456935779600478
Офисное помещение,342,67.0,134116.86,78,33.25,110000.0,8,636,1000.0,59.0,937.5,0.25146198830409355,0.09276729559748427,21.92441818181817,6.666666666666667
База/склад/производство,105,500.0,51500.0,2,34.9,38143.435,1,233,650.0,10.0,593.71,0.02857142857142857,0.04291845493562232,35.01668111432545,9.481059776658633
Коммерческий участок,49,733.0,20066.89,1,53.3,112570.36,2,2,2427.25,0.0,0.0,0.061224489795918366,0.0,-82.17391327521739,
