Тип объекта;Тип заявки;Район;Площадь;Цена
Торговое помещение;Продажа;Плеханово;22.3;5490000
Свободного назначения;Продажа;Плеханово;89.9;13800000
Торговое помещение;Продажа;Ново-Комарово;73.9;20000000
Свободного назначения;Продажа;null;1945.0;55000000
Офисное помещение;Продажа;Центр: Исторический;159.8;23800000
Готовый бизнес;Продажа;Пышма д.;295.5;45000000
Свободного назначения;Продажа;Лесобаза мкр.;28.2;7290000
Свободного назначения;Продажа;Лесобаза мкр.;28.4;7290000
Свободного назначения;Продажа;Лесобаза мкр.;86.3;15690000
Свободного назначения;Продажа;Тюменская слобода мкр.;44.5;10000000
Офисное помещение;Продажа;Центр: Дом печати;365.2;45105000
Офисное помещение;Продажа;Центр: Дом печати;225.6;27880000
Свободного назначения;Продажа;Ново-Комарово;199.1;11000000
Офисное помещение;Продажа;Центр: Студгородок;400.0;65000000
Свободного назначения;Продажа;Комарово Парк мкр.;80.8;17780000
Свободного назначения;Продажа;Комарово Парк мкр.;41.1;9445000
Свободного назначения;Продажа;Комарово Парк мкр.;41.1;9458000
Свободного назначения;Продажа;Комарово Парк мкр.;61.6;13554000
Свободного назначения;Продажа;Комарово Парк мкр.;63.6;13990000
Свободного назначения;Продажа;Комарово Парк мкр.;41.7;9645000
Свободного назначения;Продажа;Комарово Парк мкр.;83.7;18450000
Торговое помещение;Продажа;Московский п.;88.0;3700000
Свободного назначения;Продажа;Московский п.;282.0;28900000
Свободного назначения;Продажа;Лесобаза мкр.;121.1;18925500
Свободного назначения;Продажа;Нефтяников мкр.;1155.0;30000000
Свободного назначения;Продажа;Тюнево с.;276.0;9900000
Свободного назначения;Продажа;Центр: КПД;373.0;29500000
Офисное помещение;Продажа;1-й Заречный мкр;804.0;26120000
База/склад/производство;Продажа;Лесобаза мкр.;700.0;140000000
Офисное помещение;Продажа;Дом Обороны;31.0;5200000
Торговое помещение;Продажа;Ново-Патрушево мкр.;95.0;20128000
Торговое помещение;Продажа;Ново-Патрушево мкр.;116.9;24000000
Свободного назначения;Продажа;Центр: Драмтеатр;97.2;6900000
Свободного назначения;Продажа;жилой комплекс Ботаника;49.7;10805300
Свободного назначения;Продажа;жилой комплекс Ботаника;53.4;11609700
Свободного назначения;Продажа;жилой комплекс Ботаника;57.5;12385500
Свободного назначения;Продажа;жилой комплекс Ботаника;60.4;13225600
Свободного назначения;Продажа;жилой комплекс Ботаника;62.8;13762100
Свободного назначения;Продажа;жилой комплекс Ботаника;71.8;16607400
Свободного назначения;Продажа;жилой комплекс Ботаника;79.3;17218900
Свободного назначения;Продажа;жилой комплекс Ботаника;87.5;13330400
Свободного назначения;Продажа;жилой комплекс Ботаника;87.9;17952600
Свободного назначения;Продажа;Центр: Исторический;43.9;4200000
Свободного назначения;Продажа;Центр: Драмтеатр;212.6;53150000
Торговое помещение;Продажа;Центр: КПД;73.9;10350000
Офисное помещение;Продажа;Центр: Исторический;412.0;60000000
Готовый бизнес;Продажа;Ярково с.;525.0;15000000
База/склад/производство;Продажа;Боровский рп.;1067.0;125000000
Свободного назначения;Продажа;2-й Заречный мкр;101.0;9000000
Торговое помещение;Продажа;Центр: Исторический;265.8;40000000
Свободного назначения;Продажа;Тюменский 1-й мкр.;227.5;12380000
Свободного назначения;Продажа;Московский п.;266.8;26400000
Торговое помещение;Продажа;Горьковка с.;34.5;200000
База/склад/производство;Продажа;Центр: Исторический;121.3;12500000
База/склад/производство;Продажа;Троицкое;9149.0;2450000
Готовый бизнес;Продажа;Ярково с.;67.8;800000
Свободного назначения;Продажа;Созоново;7000.0;85000000
Офисное помещение;Продажа;Центральный округ;35.0;5150000
Коммерческий участок;Продажа;Тандашково;60.0;4500000
Свободного назначения;Продажа;Маяк мкр.;42.6;5500000
База/склад/производство;Продажа;Дударева д.;4.1;365000
Офисное помещение;Продажа;Центр: Драмтеатр;216.3;15500000
Свободного назначения;Продажа;Центр: Драмтеатр;134.3;17000000
База/склад/производство;Продажа;микрорайон Мыс;13300.0;150000000
Свободного назначения;Продажа;Гилевская Роща;497.0;39900000
База/склад/производство;Продажа;Гилевская Роща;3341.0;159000000
Свободного назначения;Продажа;Московский п.;1600.0;80000000
Торговое помещение;Продажа;Стрела;60.0;6000000
Свободного назначения;Продажа;Дударева д.;17.9;4320000
Свободного назначения;Продажа;Дударева д.;24.0;5687000
Свободного назначения;Продажа;Дударева д.;24.6;5952000
Свободного назначения;Продажа;Дударева д.;44.5;9525000
Свободного назначения;Продажа;5-й Заречный мкр;48.2;15427000
Свободного назначения;Продажа;5-й Заречный мкр;50.1;16031000
Свободного назначения;Продажа;5-й Заречный мкр;107.0;31811000
Свободного назначения;Продажа;5-й Заречный мкр;45.4;10652000
Свободного назначения;Продажа;5-й Заречный мкр;48.0;11264000
Свободного назначения;Продажа;5-й Заречный мкр;51.6;12114000
Свободного назначения;Продажа;5-й Заречный мкр;88.5;20780000
Свободного назначения;Продажа;5-й Заречный мкр;63.2;14840000
Свободного назначения;Продажа;5-й Заречный мкр;43.5;10209000
База/склад/производство;Продажа;Антипино мкр.;1155.0;58000000
База/склад/производство;Продажа;Центр: Драмтеатр;4.5;550000
Свободного назначения;Продажа;Вишенка с/о (Салаирский тракт);686.0;45000000
Свободного назначения;Продажа;микрорайон ДОК;107.0;16000000
Офисное помещение;Продажа;микрорайон Воронина;255.1;9900000
Коммерческий участок;Продажа;Боровский рп.;605.0;4800000
Свободного назначения;Продажа;Плеханово;35.8;6871000
Свободного назначения;Продажа;Плеханово;64.9;9375000
Свободного назначения;Продажа;Плеханово;83.5;11042000
Свободного назначения;Продажа;Плеханово;106.4;16085000
Свободного назначения;Продажа;Дом Обороны;26.5;6549000
Свободного назначения;Продажа;Плеханово;69.1;10169000
Свободного назначения;Продажа;Плеханово;45.1;6896000
Свободного назначения;Продажа;Плеханово;45.1;7739000
Свободного назначения;Продажа;Плеханово;46.3;7936000
Свободного назначения;Продажа;Плеханово;58.9;9472000
Свободного назначения;Продажа;Плеханово;68.3;9876000
Свободного назначения;Продажа;Плеханово;76.2;12871000
Свободного назначения;Продажа;Плеханово;85.8;13025000
Свободного назначения;Продажа;Плеханово;88.5;12935000
Свободного назначения;Продажа;Плеханово;120.1;17538000
Свободного назначения;Продажа;У озера квартал;53.1;7300000
Свободного назначения;Продажа;Дом Обороны;347.5;12000000
Свободного назначения;Продажа;Дом Обороны;156.7;25500000
База/склад/производство;Продажа;Центр: Исторический;14.6;1690000
Свободного назначения;Продажа;микрорайон ДОК;94.2;18000000
Торговое помещение;Продажа;Центр: КПД;199.2;25000000
Свободного назначения;Продажа;Воровского;14.1;2000000
Готовый бизнес;Продажа;Дом Обороны;177.3;32100000
Готовый бизнес;Продажа;Яр с. (Тобольский тракт);340.9;15000000
Свободного назначения;Продажа;Патрушева д.;645.0;74000000
Свободного назначения;Продажа;Центр: КПД;271.0;8850000
Торговое помещение;Продажа;Дом Обороны;106.3;20410000
Свободного назначения;Продажа;Каскара с.;1487.7;120000000
Свободного назначения;Продажа;Центр: Драмтеатр;943.3;135000000
Торговое помещение;Продажа;Винзили рп.;69.0;5550000
Свободного назначения;Продажа;Центр: Студгородок;190.4;12500000
Свободного назначения;Продажа;Центр: Дом печати;182.1;15000000
Офисное помещение;Продажа;Центр: Исторический;30.1;4500000
Торговое помещение;Продажа;Новотарманский п.;540.0;46500000
Свободного назначения;Продажа;3-й Заречный мкр;53.2;5500000
Торговое помещение;Продажа;микрорайон Матмасы;53.5;6200000
Свободного назначения;Продажа;Шорохово с.;418.1;20850000
Офисное помещение;Продажа;Центр: Дом печати;143.0;21450000
База/склад/производство;Продажа;Винзили рп.;978.0;39000000
Свободного назначения;Продажа;Южный;185.3;8000000
База/склад/производство;Продажа;Горьковское МО;1450.0;60000000
Торговое помещение;Продажа;Дударева д.;60.7;10500000
Свободного назначения;Продажа;Центр: Дом печати;945.7;58200000
Свободного назначения;Продажа;Юргинское;1317.0;42000000
Коммерческий участок;Продажа;Юргинское с.;200.0;17500000
Свободного назначения;Продажа;Дом Обороны;409.2;30000000
Торговое помещение;Продажа;Тюменский 2-й мкр.;189.7;7500000
Торговое помещение;Продажа;микрорайон Тарманы;176.3;11500000
Свободного назначения;Продажа;У озера квартал;40.9;5900000
Коммерческий участок;Продажа;Ушакова д.;3000.0;10300000
